planta,fecha,turno,linea,sku,lote_resina,kg_consumida,kg_scrap,unidades_producidas,unidades_rechazadas,cambios_molde,cambios_color,paro_no_programado_min,arranque_post_mantenimiento,nota_supervisor
Envases del Pacífico S.A.S.,2026-02-20,mañana,L1,ENV-500,R-P0005,591.04,16.23,23332,428,0,0,0,0,producción estable
Envases del Pacífico S.A.S.,2026-02-20,mañana,L2,TAP-38,R-P0006,597.52,20.86,184430,4337,1,0,0,0,"cambio de color programado, sin contratiempos"
Envases del Pacífico S.A.S.,2026-02-20,tarde,L1,ENV-500,R-P0006,713.41,21.21,28026,558,0,0,0,0,"operación normal, se repuso resina a mitad de turno"
Envases del Pacífico S.A.S.,2026-02-20,tarde,L2,TAP-38,R-P0006,729.39,23.79,226145,4957,0,0,0,0,se ajustó dosificación a media jornada
Envases del Pacífico S.A.S.,2026-02-20,noche,L2,TAP-38,R-P0006,393.02,13.35,121510,2777,0,0,0,0,producción estable
Envases del Pacífico S.A.S.,2026-02-21,mañana,L1,ENV-1000,R-P0006,561.81,16.59,14337,284,1,0,0,0,producción estable
Envases del Pacífico S.A.S.,2026-02-21,mañana,L2,TAP-38,R-P0006,524.42,16.34,162807,3404,0,0,0,0,"operación normal, se repuso resina a mitad de turno"
Envases del Pacífico S.A.S.,2026-02-21,tarde,L1,ENV-1000,R-P0006,623.89,17.63,15923,301,0,0,0,0,sin novedad
Envases del Pacífico S.A.S.,2026-02-21,tarde,L3,GAL-3800,R-P0006,568.82,20.0,5659,134,1,0,0,0,"cambio de color programado, sin contratiempos"
Envases del Pacífico S.A.S.,2026-02-21,noche,L2,TAP-38,R-P0006,498.03,15.42,154047,3199,0,0,0,0,se ajustó dosificación a media jornada
Envases del Pacífico S.A.S.,2026-02-21,noche,L3,GAL-3800,R-P0006,567.45,19.84,5639,133,0,1,0,0,sin novedad
Envases del Pacífico S.A.S.,2026-02-22,mañana,L1,ENV-1000,R-P0006,374.06,8.73,9524,148,0,0,0,0,sin novedad
Envases del Pacífico S.A.S.,2026-02-22,mañana,L2,TAP-38,R-P0006,538.05,13.72,167825,2855,0,0,0,0,sin novedad
Envases del Pacífico S.A.S.,2026-02-22,tarde,L2,TAP-38,R-P0006,612.25,17.86,190390,3718,0,0,0,0,"cambio de color programado, sin contratiempos"
Envases del Pacífico S.A.S.,2026-02-22,noche,L1,ENV-1000,R-P0006,530.44,16.14,13505,276,0,0,0,0,se ajustó dosificación a media jornada
Envases del Pacífico S.A.S.,2026-02-23,mañana,L3,GAL-3800,R-P0006,576.22,15.63,5786,105,0,0,33,0,"cambio de color programado, sin contratiempos"
Envases del Pacífico S.A.S.,2026-02-23,tarde,L1,ENV-1000,R-P0006,569.53,16.84,14450,286,0,0,28,0,sin novedad
Envases del Pacífico S.A.S.,2026-02-23,tarde,L2,TAP-38,R-P0006,581.81,19.78,179041,4095,0,0,0,0,sin novedad
Envases del Pacífico S.A.S.,2026-02-23,tarde,L3,GAL-3800,R-P0006,478.06,12.13,4809,81,0,0,0,0,"arranque con el molde frío, mucha rebaba en las primeras cajas"
Envases del Pacífico S.A.S.,2026-02-23,noche,L1,ENV-1000,R-P0006,666.51,24.0,16814,408,0,1,34,0,sin novedad
Envases del Pacífico S.A.S.,2026-02-23,noche,L2,TAP-38,R-P0006,548.9,15.89,170199,3297,0,1,0,0,sin novedad
Envases del Pacífico S.A.S.,2026-02-23,noche,L3,GAL-3800,R-P0006,600.43,14.76,6028,99,0,0,0,0,"operación normal, se repuso resina a mitad de turno"
Envases del Pacífico S.A.S.,2026-02-24,mañana,L2,TAP-38,R-P0006,592.47,18.14,183400,3765,0,1,0,0,sin novedad
Envases del Pacífico S.A.S.,2026-02-24,mañana,L3,GAL-3800,R-P0007,631.25,14.79,6315,98,0,0,0,0,sin novedad
Envases del Pacífico S.A.S.,2026-02-24,tarde,L3,GAL-3800,R-P0007,586.46,16.01,5870,107,0,0,0,0,turno normal
Envases del Pacífico S.A.S.,2026-02-24,noche,L2,TAP-38,R-P0007,637.91,23.89,196922,4979,0,1,0,0,producción estable
Envases del Pacífico S.A.S.,2026-02-24,noche,L3,GAL-3800,R-P0007,573.3,13.69,5723,91,0,0,0,0,sin novedad
Envases del Pacífico S.A.S.,2026-02-25,mañana,L1,ENV-1000,R-P0007,514.41,14.32,13048,243,0,0,69,1,"cambio de color programado, sin contratiempos"
Envases del Pacífico S.A.S.,2026-02-25,mañana,L3,GAL-3800,R-P0007,606.18,20.14,6061,135,0,0,0,0,"operación normal, se repuso resina a mitad de turno"
Envases del Pacífico S.A.S.,2026-02-25,tarde,L3,GAL-3800,R-P0007,695.29,22.03,6938,148,0,0,0,0,"cambio de color programado, sin contratiempos"
Envases del Pacífico S.A.S.,2026-02-25,noche,L3,GAL-3800,R-P0007,583.36,14.8,5847,99,0,0,0,0,sin novedad
Envases del Pacífico S.A.S.,2026-02-26,mañana,L3,GAL-3800,R-P0007,621.71,25.96,6129,174,0,1,0,1,turno normal
Envases del Pacífico S.A.S.,2026-02-26,tarde,L1,ENV-1000,R-P0007,590.18,14.8,15128,253,0,0,0,0,sin novedad
Envases del Pacífico S.A.S.,2026-02-26,tarde,L2,TAP-38,R-P0007,446.23,13.22,138346,2746,0,0,0,1,"operación normal, se repuso resina a mitad de turno"
Envases del Pacífico S.A.S.,2026-02-26,tarde,L3,GAL-3800,R-P0007,680.82,20.28,6830,136,0,0,0,0,sin novedad
Envases del Pacífico S.A.S.,2026-02-26,noche,L1,ENV-1000,R-P0007,614.68,20.81,15500,353,0,1,80,0,producción estable
Envases del Pacífico S.A.S.,2026-02-26,noche,L2,TAP-38,R-P0007,716.62,19.74,222637,4100,0,0,0,0,producción estable
Envases del Pacífico S.A.S.,2026-02-26,noche,L3,GAL-3800,R-P0007,674.46,18.61,6750,124,0,0,0,0,"cambio de color programado, sin contratiempos"
Envases del Pacífico S.A.S.,2026-02-27,mañana,L1,ENV-1000,R-P0007,557.24,11.67,14337,199,0,0,0,0,producción estable
Envases del Pacífico S.A.S.,2026-02-27,mañana,L2,BAN-250,R-P0007,516.1,20.03,38782,1018,1,0,0,0,sin novedad
Envases del Pacífico S.A.S.,2026-02-27,tarde,L1,ENV-1000,R-P0007,532.89,12.68,13598,215,0,0,0,0,turno normal
Envases del Pacífico S.A.S.,2026-02-27,tarde,L2,BAN-250,R-P0007,658.84,19.75,50093,1006,0,1,54,0,producción estable
Envases del Pacífico S.A.S.,2026-02-27,noche,L1,ENV-1000,R-P0007,560.27,18.58,14192,316,0,0,0,0,"operación normal, se repuso resina a mitad de turno"
Envases del Pacífico S.A.S.,2026-02-27,noche,L2,BAN-250,R-P0007,491.95,13.43,37304,681,0,0,0,0,sin novedad
Envases del Pacífico S.A.S.,2026-02-28,mañana,L1,ENV-500,R-P0007,502.43,20.18,19339,526,1,0,0,0,sin novedad
Envases del Pacífico S.A.S.,2026-02-28,mañana,L2,BAN-250,R-P0008,623.14,18.1,47352,921,0,0,0,0,"operación normal, se repuso resina a mitad de turno"
Envases del Pacífico S.A.S.,2026-02-28,mañana,L3,ENV-500,R-P0008,616.49,21.64,24274,574,1,0,29,0,sin novedad
Envases del Pacífico S.A.S.,2026-02-28,tarde,L3,ENV-500,R-P0008,735.36,22.0,29084,583,0,0,0,0,sin novedad
Envases del Pacífico S.A.S.,2026-02-28,noche,L1,ENV-500,R-P0008,480.5,14.23,18785,373,0,0,0,0,sin novedad
Envases del Pacífico S.A.S.,2026-02-28,noche,L2,BAN-250,R-P0008,424.84,11.01,32349,560,0,0,0,0,sin novedad
Envases del Pacífico S.A.S.,2026-02-28,noche,L3,ENV-500,R-P0008,507.63,15.77,20177,421,0,0,0,0,producción estable
Envases del Pacífico S.A.S.,2026-03-01,mañana,L1,ENV-500,R-P0008,610.42,20.09,23731,525,0,0,0,0,"cambio de color programado, sin contratiempos"
Envases del Pacífico S.A.S.,2026-03-01,mañana,L2,BAN-250,R-P0008,721.3,20.63,54898,1050,0,0,0,0,"operación normal, se repuso resina a mitad de turno"
Envases del Pacífico S.A.S.,2026-03-01,mañana,L3,ENV-500,R-P0008,503.29,12.66,20071,337,0,0,63,0,"operación normal, se repuso resina a mitad de turno"
Envases del Pacífico S.A.S.,2026-03-01,tarde,L1,ENV-500,R-P0008,537.19,13.44,21016,351,0,0,63,0,producción estable
Envases del Pacífico S.A.S.,2026-03-01,tarde,L2,BAN-250,R-P0008,478.69,9.62,36595,488,0,0,0,0,turno normal
Envases del Pacífico S.A.S.,2026-03-01,tarde,L3,ENV-500,R-P0008,514.35,17.26,20283,458,0,1,55,0,sin novedad
Envases del Pacífico S.A.S.,2026-03-01,noche,L1,ENV-500,R-P0008,600.32,20.29,23332,531,0,0,0,0,se ajustó dosificación a media jornada
Envases del Pacífico S.A.S.,2026-03-01,noche,L3,ENV-500,R-P0008,477.39,17.4,18766,461,0,1,0,0,"operación normal, se repuso resina a mitad de turno"
Envases del Pacífico S.A.S.,2026-03-02,mañana,L1,ENV-500,R-P0008,449.44,13.28,17436,345,0,0,0,0,se ajustó dosificación a media jornada
Envases del Pacífico S.A.S.,2026-03-02,mañana,L3,GAL-3800,R-P0008,412.73,17.82,4049,119,1,0,0,0,se ajustó dosificación a media jornada
Envases del Pacífico S.A.S.,2026-03-02,tarde,L2,BAN-250,R-P0008,446.43,13.72,33935,700,0,0,18,0,sin novedad
Envases del Pacífico S.A.S.,2026-03-02,tarde,L3,GAL-3800,R-P0008,283.08,8.8,2826,59,0,0,0,0,sin novedad
Envases del Pacífico S.A.S.,2026-03-02,noche,L1,ENV-500,R-P0008,592.76,18.21,23233,479,0,0,47,0,sin novedad
Envases del Pacífico S.A.S.,2026-03-02,noche,L3,GAL-3800,R-P0008,541.37,15.24,5418,102,0,0,21,0,se ajustó dosificación a media jornada
Envases del Pacífico S.A.S.,2026-03-03,mañana,L2,BAN-250,R-P0008,652.99,14.7,49703,744,0,0,0,0,producción estable
Envases del Pacífico S.A.S.,2026-03-03,mañana,L3,GAL-3800,R-P0009,597.71,18.02,5973,121,0,0,0,0,sin novedad
Envases del Pacífico S.A.S.,2026-03-03,tarde,L1,ENV-1000,R-P0009,718.14,30.84,18050,526,1,0,0,0,sin novedad
Envases del Pacífico S.A.S.,2026-03-03,tarde,L3,GAL-3800,R-P0009,595.61,17.1,5955,114,0,0,0,0,sin novedad
Envases del Pacífico S.A.S.,2026-03-03,noche,L1,ENV-1000,R-P0009,642.24,15.96,16349,271,0,0,0,0,turno normal
Envases del Pacífico S.A.S.,2026-03-03,noche,L2,BAN-250,R-P0009,600.97,18.1,45178,912,0,1,0,0,se ajustó dosificación a media jornada
Envases del Pacífico S.A.S.,2026-03-03,noche,L3,GAL-3800,R-P0009,607.65,18.6,6055,124,0,0,0,1,producción estable
Envases del Pacífico S.A.S.,2026-03-04,mañana,L1,ENV-1000,R-P0009,593.36,18.06,15039,307,0,0,50,0,se ajustó dosificación a media jornada
Envases del Pacífico S.A.S.,2026-03-04,mañana,L2,TAP-38,R-P0009,676.15,23.94,209096,4989,1,0,0,0,producción estable
Envases del Pacífico S.A.S.,2026-03-04,mañana,L3,GAL-3800,R-P0009,635.91,17.39,6376,117,0,0,0,0,turno normal
Envases del Pacífico S.A.S.,2026-03-04,tarde,L1,ENV-1000,R-P0009,789.09,17.03,20209,290,0,0,0,0,turno normal
Envases del Pacífico S.A.S.,2026-03-04,tarde,L2,TAP-38,R-P0009,697.45,23.45,214704,4855,0,0,0,0,sin novedad
Envases del Pacífico S.A.S.,2026-03-04,noche,L2,TAP-38,R-P0009,707.98,16.04,221357,3336,0,0,0,0,sin novedad
Envases del Pacífico S.A.S.,2026-03-04,noche,L3,GAL-3800,R-P0009,640.26,21.71,6389,146,0,1,0,0,sin novedad
Envases del Pacífico S.A.S.,2026-03-05,mañana,L1,ENV-1000,R-P0009,498.07,14.62,12635,248,0,0,14,0,"operación normal, se repuso resina a mitad de turno"
Envases del Pacífico S.A.S.,2026-03-05,mañana,L3,ENV-500,R-P0009,602.86,25.03,23641,666,1,0,0,0,"cambio de color programado, sin contratiempos"
Envases del Pacífico S.A.S.,2026-03-05,tarde,L1,ENV-1000,R-P0009,423.64,9.3,10839,158,0,0,89,0,"cambio de color programado, sin contratiempos"
Envases del Pacífico S.A.S.,2026-03-05,tarde,L2,TAP-38,R-P0009,505.15,13.57,157637,2828,0,0,0,0,sin novedad
Envases del Pacífico S.A.S.,2026-03-05,tarde,L3,ENV-500,R-P0009,482.51,14.97,19084,397,0,0,0,0,"molde tibio al inicio, se estabilizó pasada la media hora"
Envases del Pacífico S.A.S.,2026-03-05,noche,L2,TAP-38,R-P0009,679.26,21.01,210434,4366,0,0,0,0,sin novedad
Envases del Pacífico S.A.S.,2026-03-06,mañana,L1,ENV-1000,R-P0009,642.22,18.78,16362,320,0,1,0,0,turno normal
Envases del Pacífico S.A.S.,2026-03-06,mañana,L2,TAP-38,R-P0009,552.58,16.22,171591,3373,0,0,0,0,sin novedad
Envases del Pacífico S.A.S.,2026-03-06,mañana,L3,ENV-500,R-P0009,501.54,11.57,20007,307,0,0,0,0,"operación normal, se repuso resina a mitad de turno"
Envases del Pacífico S.A.S.,2026-03-06,tarde,L1,ENV-1000,R-P0009,636.75,22.52,16043,382,0,1,0,0,"cambio de color programado, sin contratiempos"
Envases del Pacífico S.A.S.,2026-03-06,tarde,L3,ENV-500,R-P0009,641.17,18.35,25557,490,0,1,0,0,"operación normal, se repuso resina a mitad de turno"
Envases del Pacífico S.A.S.,2026-03-06,noche,L2,TAP-38,R-P0009,548.7,15.49,170909,3228,0,0,0,0,producción estable
Envases del Pacífico S.A.S.,2026-03-06,noche,L3,ENV-500,R-P0009,573.48,16.42,22854,438,0,0,0,0,se ajustó dosificación a media jornada
Envases del Pacífico S.A.S.,2026-03-07,mañana,L1,ENV-500,R-P0009,680.78,25.53,26234,664,1,0,0,0,se ajustó dosificación a media jornada
Envases del Pacífico S.A.S.,2026-03-07,mañana,L2,TAP-38,R-P0009,637.32,17.82,197921,3700,0,0,0,0,se ajustó dosificación a media jornada
Envases del Pacífico S.A.S.,2026-03-07,mañana,L3,ENV-500,R-P0009,420.49,14.23,16531,376,0,1,0,0,sin novedad
Envases del Pacífico S.A.S.,2026-03-07,tarde,L1,ENV-500,R-P0010,544.47,11.0,21279,285,0,0,0,0,"molde tibio al inicio, se estabilizó pasada la media hora"
Envases del Pacífico S.A.S.,2026-03-07,tarde,L2,TAP-38,R-P0010,666.71,18.69,207617,3892,0,0,0,0,sin novedad
Envases del Pacífico S.A.S.,2026-03-07,tarde,L3,ENV-500,R-P0010,562.6,16.53,22170,436,0,0,30,0,producción estable
Envases del Pacífico S.A.S.,2026-03-07,noche,L1,ENV-500,R-P0010,601.34,18.16,23337,472,0,0,0,0,sin novedad
Envases del Pacífico S.A.S.,2026-03-07,noche,L2,TAP-38,R-P0011,510.22,24.19,155251,5023,0,0,0,0,sin novedad
Envases del Pacífico S.A.S.,2026-03-07,noche,L3,ENV-500,R-P0011,662.13,33.77,25643,896,0,0,38,0,se ajustó dosificación a media jornada
Envases del Pacífico S.A.S.,2026-03-08,mañana,L1,ENV-500,R-P0011,649.55,32.33,24669,840,0,0,0,0,se ajustó dosificación a media jornada
Envases del Pacífico S.A.S.,2026-03-08,mañana,L2,TAP-38,R-P0011,731.17,44.22,219140,9170,0,1,0,0,se ajustó dosificación a media jornada
Envases del Pacífico S.A.S.,2026-03-08,tarde,L1,ENV-500,R-P0011,686.05,36.09,25961,937,0,1,25,0,"cambio de color programado, sin contratiempos"
Envases del Pacífico S.A.S.,2026-03-08,tarde,L3,ENV-500,R-P0011,660.46,33.37,25540,884,0,0,0,0,sin novedad
