planta,fecha,hora_inicio,turno,linea,maquina,duracion_min,codigo_falla,categoria_falla,comentario_operario
Envases del Pacífico S.A.S.,2026-02-26,19:18,tarde,L3,EMP-06,22.6,,,paro sin causa aparente
Envases del Pacífico S.A.S.,2026-02-26,22:43,noche,L3,EMP-06,4.9,CAL-07,Calidad,se detuvo por muestra no conforme
Envases del Pacífico S.A.S.,2026-02-26,23:12,noche,L3,EMP-07,8.0,OPE-01,Operativa,tolva vacía por demora del montacargas
Envases del Pacífico S.A.S.,2026-02-26,23:45,noche,L3,EMP-06,2.7,MPR-04,Materia prima,"resina con humedad aparente, se purgó"
Envases del Pacífico S.A.S.,2026-02-26,23:51,noche,L2,INY-03,66.8,,,"rebaba persistente, revisión de molde"
Envases del Pacífico S.A.S.,2026-02-27,00:07,noche,L2,INY-03,2.4,OPE-01,Operativa,cambio de bobina más lento de lo normal
Envases del Pacífico S.A.S.,2026-02-27,11:03,mañana,L1,SOP-01,1.6,,,desalineación del brazo extractor
Envases del Pacífico S.A.S.,2026-02-27,13:25,mañana,L1,SOP-02,9.4,OPE-07,Operativa,"atasco en la tolva, se destapó a mano"
Envases del Pacífico S.A.S.,2026-02-27,13:33,mañana,L2,INY-03,30.6,CAL-04,Calidad,"rebaba persistente, revisión de molde"
Envases del Pacífico S.A.S.,2026-02-27,15:04,tarde,L1,SOP-01,24.1,MEC-01,Mecánica,desalineación del brazo extractor
Envases del Pacífico S.A.S.,2026-02-27,18:25,tarde,L1,SOP-01,1.1,MEC-01,Mecánica,"rodamiento haciendo ruido, hubo que parar"
Envases del Pacífico S.A.S.,2026-02-27,23:40,noche,L2,INY-03,19.6,MEC-07,Mecánica,desalineación del brazo extractor
Envases del Pacífico S.A.S.,2026-02-28,00:21,noche,L2,INY-05,3.6,MEC-08,Mecánica,fuga hidráulica en la unidad de cierre
Envases del Pacífico S.A.S.,2026-02-28,00:23,noche,L1,SOP-02,11.3,OPE-03,Operativa,la tolva quedó mal cerrada y hubo que reponer
Envases del Pacífico S.A.S.,2026-02-28,03:07,noche,L1,SOP-02,4.8,MEC-06,Mecánica,fuga hidráulica en la unidad de cierre
Envases del Pacífico S.A.S.,2026-02-28,03:14,noche,L1,SOP-01,37.2,,,no se pudo determinar el origen
Envases del Pacífico S.A.S.,2026-02-28,03:16,noche,L2,INY-04,16.6,,,paro sin causa aparente
Envases del Pacífico S.A.S.,2026-02-28,04:05,noche,L2,INY-05,10.8,ELE-05,Eléctrica,sensor de puerta sin señal
Envases del Pacífico S.A.S.,2026-02-28,04:37,noche,L2,INY-03,39.1,,,"atasco en la tolva, se destapó a mano"
Envases del Pacífico S.A.S.,2026-02-28,04:42,noche,L1,SOP-01,15.1,MEC-01,Mecánica,fuga hidráulica en la unidad de cierre
Envases del Pacífico S.A.S.,2026-02-28,05:22,noche,L2,INY-05,4.4,MPR-02,Materia prima,"resina con humedad aparente, se purgó"
Envases del Pacífico S.A.S.,2026-02-28,12:23,mañana,L3,EMP-06,1.3,,,no se pudo determinar el origen
Envases del Pacífico S.A.S.,2026-02-28,13:30,mañana,L1,SOP-02,9.0,MEC-04,Mecánica,fuga hidráulica en la unidad de cierre
Envases del Pacífico S.A.S.,2026-02-28,19:45,tarde,L3,EMP-07,16.8,,,la máquina se detuvo sola
Envases del Pacífico S.A.S.,2026-03-01,00:11,noche,L2,INY-04,9.4,OPE-08,Operativa,"atasco en la tolva, se destapó a mano"
Envases del Pacífico S.A.S.,2026-03-01,00:33,noche,L2,INY-04,5.4,OPE-07,Operativa,tolva vacía por demora del montacargas
Envases del Pacífico S.A.S.,2026-03-01,01:38,noche,L2,INY-03,4.8,,,paro sin causa aparente
Envases del Pacífico S.A.S.,2026-03-01,03:23,noche,L3,EMP-07,57.6,MEC-03,Mecánica,fuga hidráulica en la unidad de cierre
Envases del Pacífico S.A.S.,2026-03-01,06:17,mañana,L3,EMP-07,40.3,MEC-06,Mecánica,se rompió la banda de arrastre
Envases del Pacífico S.A.S.,2026-03-01,10:23,mañana,L2,INY-03,2.7,,,fuga hidráulica en la unidad de cierre
Envases del Pacífico S.A.S.,2026-03-01,10:59,mañana,L3,EMP-07,18.8,ELE-08,Eléctrica,sensor de puerta sin señal
Envases del Pacífico S.A.S.,2026-03-01,10:59,mañana,L3,EMP-07,32.1,,,no se pudo determinar el origen
Envases del Pacífico S.A.S.,2026-03-01,11:12,mañana,L3,EMP-07,24.5,MEC-05,Mecánica,desalineación del brazo extractor
Envases del Pacífico S.A.S.,2026-03-01,12:13,mañana,L2,INY-04,4.7,MEC-04,Mecánica,desalineación del brazo extractor
Envases del Pacífico S.A.S.,2026-03-01,18:08,tarde,L3,EMP-07,20.9,MEC-07,Mecánica,se rompió la banda de arrastre
Envases del Pacífico S.A.S.,2026-03-01,18:23,tarde,L3,EMP-07,13.9,ELE-04,Eléctrica,saltó el breaker del tablero
Envases del Pacífico S.A.S.,2026-03-01,18:55,tarde,L3,EMP-06,3.5,MEC-07,Mecánica,desalineación del brazo extractor
Envases del Pacífico S.A.S.,2026-03-01,21:06,tarde,L3,EMP-07,15.9,,,no se pudo determinar el origen
Envases del Pacífico S.A.S.,2026-03-01,23:08,noche,L3,EMP-07,23.2,CAL-04,Calidad,se detuvo por muestra no conforme
Envases del Pacífico S.A.S.,2026-03-02,01:19,noche,L1,SOP-02,7.5,ELE-01,Eléctrica,sensor de puerta sin señal
Envases del Pacífico S.A.S.,2026-03-02,05:06,noche,L1,SOP-01,31.5,ELE-07,Eléctrica,sensor de puerta sin señal
Envases del Pacífico S.A.S.,2026-03-02,08:56,mañana,L1,SOP-01,2.5,MEC-03,Mecánica,fuga hidráulica en la unidad de cierre
Envases del Pacífico S.A.S.,2026-03-02,13:35,mañana,L3,EMP-07,7.6,CAL-01,Calidad,"piezas fuera de peso, se paró para ajustar"
Envases del Pacífico S.A.S.,2026-03-02,17:05,tarde,L3,EMP-06,4.8,CAL-03,Calidad,"piezas fuera de peso, se paró para ajustar"
Envases del Pacífico S.A.S.,2026-03-02,18:54,tarde,L3,EMP-07,19.7,MEC-02,Mecánica,fuga hidráulica en la unidad de cierre
Envases del Pacífico S.A.S.,2026-03-03,13:50,mañana,L2,INY-03,1.4,ELE-03,Eléctrica,saltó el breaker del tablero
Envases del Pacífico S.A.S.,2026-03-03,14:03,tarde,L3,EMP-06,3.2,MEC-03,Mecánica,fuga hidráulica en la unidad de cierre
Envases del Pacífico S.A.S.,2026-03-03,15:32,tarde,L3,EMP-07,15.3,MEC-02,Mecánica,"rodamiento haciendo ruido, hubo que parar"
Envases del Pacífico S.A.S.,2026-03-03,17:39,tarde,L3,EMP-06,72.6,,,"piezas fuera de peso, se paró para ajustar"
Envases del Pacífico S.A.S.,2026-03-04,00:03,noche,L2,INY-03,2.2,CAL-07,Calidad,"rebaba persistente, revisión de molde"
Envases del Pacífico S.A.S.,2026-03-04,00:09,noche,L2,INY-04,38.5,MEC-02,Mecánica,"rodamiento haciendo ruido, hubo que parar"
Envases del Pacífico S.A.S.,2026-03-04,01:22,noche,L1,SOP-02,3.6,,,se atascó la banda de salida con cajas
Envases del Pacífico S.A.S.,2026-03-04,02:49,noche,L2,INY-05,11.8,MEC-01,Mecánica,se rompió la banda de arrastre
Envases del Pacífico S.A.S.,2026-03-04,02:57,noche,L3,EMP-07,20.4,,,desalineación del brazo extractor
Envases del Pacífico S.A.S.,2026-03-04,03:56,noche,L1,SOP-01,22.8,OPE-03,Operativa,"atasco en la tolva, se destapó a mano"
