fecha,hora,turno,linea,sku,origen,tipo_evento,descripcion,firmado_por
2026-02-11,22:42,noche,L2,TAP-38,HMI,Alarma HMI,presión de inyección fuera de banda,L. Betancur
2026-02-12,00:00,noche,L3,ENV-500,HMI,Ajuste de proceso,se corrigió el perfil de temperaturas,C. Ramírez
2026-02-12,01:06,noche,L1,ENV-500,Bitácora,Ajuste de proceso,se corrigió el perfil de temperaturas,M. Ocampo
2026-02-12,01:08,noche,L1,ENV-500,HMI,Mantenimiento correctivo,ajuste de cierre del molde,A. Quintero
2026-02-12,01:16,noche,L1,ENV-500,Bitácora,Inspección de calidad,revisión dimensional de rutina,M. Ocampo
2026-02-12,01:53,noche,L1,ENV-500,Bitácora,Ajuste de proceso,se bajó el tiempo de enfriamiento,A. Quintero
2026-02-12,03:12,noche,L2,TAP-38,HMI,Inspección de calidad,revisión dimensional de rutina,M. Ocampo
2026-02-12,03:21,noche,L3,ENV-500,HMI,Paro no programado,paro eléctrico breve,L. Betancur
2026-02-12,04:43,noche,L1,ENV-500,Bitácora,Alarma HMI,presión de inyección fuera de banda,C. Ramírez
2026-02-12,05:15,noche,L2,TAP-38,HMI,Mantenimiento correctivo,ajuste de cierre del molde,L. Betancur
2026-02-12,05:53,noche,L3,ENV-500,Bitácora,Arranque de turno,arranque con precalentamiento del molde,J. Peláez
2026-02-12,06:19,mañana,L3,ENV-500,HMI,Arranque de turno,arranque normal del equipo,D. Valencia
2026-02-12,07:31,mañana,L3,ENV-500,Bitácora,Arranque de turno,"el molde arrancó por debajo de temperatura, primeras piezas con rebaba",M. Ocampo
2026-02-12,08:14,mañana,L2,TAP-38,Bitácora,Mantenimiento correctivo,cambio de resistencia de la zona 2,J. Peláez
2026-02-12,11:05,mañana,L3,ENV-500,HMI,Inspección de calidad,muestreo de peso conforme al plan,L. Betancur
2026-02-12,11:20,mañana,L2,TAP-38,HMI,Alarma HMI,alarma de temperatura de zona 3,L. Betancur
2026-02-12,11:25,mañana,L3,ENV-500,HMI,Mantenimiento correctivo,cambio de resistencia de la zona 2,C. Ramírez
2026-02-12,13:38,mañana,L2,TAP-38,Bitácora,Ajuste de proceso,se corrigió el perfil de temperaturas,A. Quintero
2026-02-12,14:19,tarde,L1,ENV-500,HMI,Paro no programado,paro eléctrico breve,C. Ramírez
2026-02-12,15:04,tarde,L3,ENV-500,Bitácora,Mantenimiento correctivo,cambio de resistencia de la zona 2,L. Betancur
2026-02-12,18:42,tarde,L1,ENV-500,HMI,Arranque de turno,arranque con precalentamiento del molde,D. Valencia
2026-02-12,18:55,tarde,L3,ENV-500,HMI,Ajuste de proceso,se corrigió el perfil de temperaturas,M. Ocampo
2026-02-12,19:10,tarde,L2,TAP-38,HMI,Mantenimiento correctivo,ajuste de cierre del molde,C. Ramírez
2026-02-12,19:23,tarde,L2,TAP-38,Bitácora,Paro no programado,paro eléctrico breve,A. Quintero
2026-02-12,19:51,tarde,L2,TAP-38,Bitácora,Alarma HMI,alarma de temperatura de zona 3,D. Valencia
2026-02-12,20:18,tarde,L2,TAP-38,Bitácora,Ajuste de proceso,se bajó el tiempo de enfriamiento,M. Ocampo
2026-02-12,20:30,tarde,L3,ENV-500,HMI,Mantenimiento correctivo,ajuste de cierre del molde,A. Quintero
2026-02-12,20:36,tarde,L1,ENV-500,HMI,Paro no programado,paro eléctrico breve,J. Peláez
2026-02-12,20:50,tarde,L2,TAP-38,HMI,Mantenimiento correctivo,cambio de resistencia de la zona 2,A. Quintero
2026-02-12,21:00,tarde,L3,ENV-500,Bitácora,Arranque de turno,arranque normal del equipo,M. Ocampo
2026-02-12,21:42,tarde,L1,ENV-500,Bitácora,Inspección de calidad,muestreo de peso conforme al plan,J. Peláez
2026-02-12,22:26,noche,L2,TAP-38,HMI,Ajuste de proceso,se bajó el tiempo de enfriamiento,L. Betancur
2026-02-12,22:30,noche,L2,TAP-38,Bitácora,Mantenimiento correctivo,ajuste de cierre del molde,A. Quintero
2026-02-12,22:43,noche,L2,TAP-38,HMI,Alarma HMI,presión de inyección fuera de banda,C. Ramírez
2026-02-13,00:30,noche,L1,ENV-500,Bitácora,Mantenimiento correctivo,ajuste de cierre del molde,M. Ocampo
2026-02-13,01:36,noche,L2,TAP-38,Bitácora,Ajuste de proceso,ajuste de contrapresión,J. Peláez
2026-02-13,02:01,noche,L1,ENV-500,Bitácora,Inspección de calidad,muestreo de peso conforme al plan,D. Valencia
2026-02-13,02:33,noche,L2,TAP-38,Bitácora,Alarma HMI,alarma de dosificador,A. Quintero
2026-02-13,04:17,noche,L3,ENV-500,Bitácora,Ajuste de proceso,se corrigió el perfil de temperaturas,A. Quintero
2026-02-13,07:22,mañana,L1,ENV-500,Bitácora,Inspección de calidad,revisión dimensional de rutina,A. Quintero
2026-02-13,07:25,mañana,L3,ENV-500,HMI,Ajuste de proceso,ajuste de contrapresión,M. Ocampo
2026-02-13,07:30,mañana,L1,ENV-500,Bitácora,Ajuste de proceso,se bajó el tiempo de enfriamiento,M. Ocampo
2026-02-13,08:03,mañana,L3,ENV-500,HMI,Alarma HMI,falla de sensor de posición del husillo,A. Quintero
2026-02-13,08:18,mañana,L1,ENV-500,Bitácora,Ajuste de proceso,se bajó el tiempo de enfriamiento,D. Valencia
2026-02-13,09:08,mañana,L3,ENV-500,Bitácora,Arranque de turno,arranque con precalentamiento del molde,A. Quintero
2026-02-13,10:14,mañana,L3,ENV-500,HMI,Mantenimiento correctivo,cambio de resistencia de la zona 2,M. Ocampo
2026-02-13,10:37,mañana,L1,ENV-500,Bitácora,Mantenimiento correctivo,ajuste de cierre del molde,C. Ramírez
2026-02-13,10:54,mañana,L2,TAP-38,HMI,Arranque de turno,"el molde arrancó por debajo de temperatura, primeras piezas con rebaba",C. Ramírez
2026-02-13,10:57,mañana,L3,ENV-500,Bitácora,Paro no programado,paro por atasco en la banda de salida,D. Valencia
2026-02-13,13:08,mañana,L2,TAP-38,HMI,Arranque de turno,"el molde arrancó por debajo de temperatura, primeras piezas con rebaba",M. Ocampo
2026-02-13,15:48,tarde,L3,ENV-500,HMI,Alarma HMI,alarma de dosificador,L. Betancur
2026-02-13,16:55,tarde,L3,ENV-500,HMI,Arranque de turno,arranque con precalentamiento del molde,M. Ocampo
2026-02-13,16:56,tarde,L3,ENV-500,HMI,Inspección de calidad,revisión dimensional de rutina,M. Ocampo
2026-02-13,19:06,tarde,L3,ENV-500,Bitácora,Paro no programado,paro eléctrico breve,A. Quintero
2026-02-13,19:44,tarde,L3,ENV-500,HMI,Alarma HMI,alarma de temperatura de zona 3,M. Ocampo
2026-02-13,22:08,noche,L3,ENV-500,HMI,Ajuste de proceso,ajuste de contrapresión,D. Valencia
2026-02-13,22:43,noche,L2,TAP-38,Bitácora,Mantenimiento correctivo,cambio de resistencia de la zona 2,J. Peláez
2026-02-14,02:15,noche,L3,ENV-500,Bitácora,Ajuste de proceso,se bajó el tiempo de enfriamiento,D. Valencia
2026-02-14,04:54,noche,L3,ENV-500,Bitácora,Alarma HMI,alarma de dosificador,M. Ocampo
2026-02-14,06:48,mañana,L2,TAP-38,HMI,Arranque de turno,arranque normal del equipo,A. Quintero
2026-02-14,08:44,mañana,L1,ENV-1000,HMI,Ajuste de proceso,se corrigió el perfil de temperaturas,M. Ocampo
2026-02-14,08:44,mañana,L2,TAP-38,Bitácora,Ajuste de proceso,se corrigió el perfil de temperaturas,M. Ocampo
2026-02-14,09:52,mañana,L2,TAP-38,Bitácora,Paro no programado,paro por falta de resina en tolva,D. Valencia
2026-02-14,10:09,mañana,L1,ENV-1000,Bitácora,Ajuste de proceso,ajuste de contrapresión,C. Ramírez
2026-02-14,10:14,mañana,L2,TAP-38,HMI,Inspección de calidad,muestreo de peso conforme al plan,C. Ramírez
2026-02-14,10:49,mañana,L1,ENV-1000,HMI,Ajuste de proceso,se bajó el tiempo de enfriamiento,A. Quintero
2026-02-14,11:01,mañana,L1,ENV-1000,HMI,Ajuste de proceso,ajuste de contrapresión,A. Quintero
2026-02-14,12:55,mañana,L2,TAP-38,Bitácora,Inspección de calidad,revisión dimensional de rutina,D. Valencia
2026-02-14,13:04,mañana,L3,ENV-500,HMI,Arranque de turno,arranque normal del equipo,L. Betancur
2026-02-14,13:53,mañana,L3,ENV-500,Bitácora,Inspección de calidad,muestreo de peso conforme al plan,A. Quintero
2026-02-14,14:43,tarde,L1,ENV-1000,Bitácora,Inspección de calidad,muestreo de peso conforme al plan,A. Quintero
2026-02-14,14:46,tarde,L2,TAP-38,HMI,Mantenimiento correctivo,ajuste de cierre del molde,L. Betancur
2026-02-14,15:13,tarde,L1,ENV-1000,Bitácora,Paro no programado,paro eléctrico breve,D. Valencia
2026-02-14,16:20,tarde,L2,TAP-38,HMI,Alarma HMI,presión de inyección fuera de banda,L. Betancur
2026-02-14,17:16,tarde,L1,ENV-1000,HMI,Arranque de turno,arranque con precalentamiento del molde,C. Ramírez
2026-02-14,17:37,tarde,L3,ENV-500,HMI,Arranque de turno,arranque normal del equipo,A. Quintero
2026-02-14,17:51,tarde,L2,TAP-38,Bitácora,Inspección de calidad,muestreo de peso conforme al plan,M. Ocampo
2026-02-14,17:55,tarde,L3,ENV-500,HMI,Paro no programado,paro eléctrico breve,A. Quintero
2026-02-14,18:43,tarde,L3,ENV-500,HMI,Paro no programado,paro por atasco en la banda de salida,J. Peláez
2026-02-14,20:13,tarde,L1,ENV-1000,HMI,Ajuste de proceso,se bajó el tiempo de enfriamiento,D. Valencia
2026-02-14,20:14,tarde,L3,ENV-500,Bitácora,Arranque de turno,arranque con precalentamiento del molde,D. Valencia
2026-02-14,22:14,noche,L3,ENV-500,HMI,Ajuste de proceso,se corrigió el perfil de temperaturas,D. Valencia
2026-02-14,22:28,noche,L3,ENV-500,HMI,Ajuste de proceso,ajuste de contrapresión,J. Peláez
2026-02-15,00:30,noche,L2,TAP-38,HMI,Arranque de turno,arranque normal del equipo,L. Betancur
2026-02-15,00:30,noche,L3,ENV-500,HMI,Paro no programado,paro por falta de resina en tolva,D. Valencia
2026-02-15,00:44,noche,L1,ENV-1000,HMI,Mantenimiento correctivo,ajuste de cierre del molde,J. Peláez
2026-02-15,00:45,noche,L3,ENV-500,HMI,Alarma HMI,alarma de temperatura de zona 3,L. Betancur
2026-02-15,01:00,noche,L1,ENV-1000,Bitácora,Ajuste de proceso,se bajó el tiempo de enfriamiento,A. Quintero
2026-02-15,01:27,noche,L2,TAP-38,HMI,Arranque de turno,arranque normal del equipo,D. Valencia
2026-02-15,02:47,noche,L2,TAP-38,HMI,Ajuste de proceso,ajuste de contrapresión,C. Ramírez
2026-02-15,04:01,noche,L1,ENV-1000,Bitácora,Inspección de calidad,revisión dimensional de rutina,A. Quintero
2026-02-15,06:01,mañana,L3,ENV-500,Bitácora,Ajuste de proceso,se corrigió el perfil de temperaturas,L. Betancur
2026-02-15,07:48,mañana,L2,TAP-38,HMI,Arranque de turno,arranque con precalentamiento del molde,J. Peláez
2026-02-15,08:01,mañana,L2,TAP-38,HMI,Mantenimiento correctivo,cambio de resistencia de la zona 2,D. Valencia
2026-02-15,08:43,mañana,L3,ENV-500,HMI,Arranque de turno,arranque con precalentamiento del molde,L. Betancur
2026-02-15,09:03,mañana,L2,TAP-38,Bitácora,Alarma HMI,alarma de temperatura de zona 3,M. Ocampo
2026-02-15,09:10,mañana,L2,TAP-38,HMI,Arranque de turno,arranque normal del equipo,J. Peláez
2026-02-15,11:55,mañana,L3,ENV-500,HMI,Alarma HMI,presión de inyección fuera de banda,A. Quintero
2026-02-15,15:41,tarde,L1,ENV-1000,Bitácora,Ajuste de proceso,se bajó el tiempo de enfriamiento,C. Ramírez
2026-02-15,16:35,tarde,L1,ENV-1000,HMI,Ajuste de proceso,se corrigió el perfil de temperaturas,J. Peláez
2026-02-15,16:48,tarde,L3,ENV-500,HMI,Mantenimiento correctivo,ajuste de cierre del molde,C. Ramírez
2026-02-15,19:22,tarde,L1,ENV-1000,HMI,Arranque de turno,"el molde arrancó por debajo de temperatura, primeras piezas con rebaba",A. Quintero
2026-02-15,19:29,tarde,L1,ENV-1000,Bitácora,Arranque de turno,arranque con precalentamiento del molde,C. Ramírez
2026-02-15,19:51,tarde,L3,ENV-500,Bitácora,Alarma HMI,alarma de dosificador,C. Ramírez
2026-02-15,22:08,noche,L1,ENV-1000,HMI,Arranque de turno,"el molde arrancó por debajo de temperatura, primeras piezas con rebaba",L. Betancur
2026-02-15,22:44,noche,L2,TAP-38,Bitácora,Arranque de turno,"el molde arrancó por debajo de temperatura, primeras piezas con rebaba",D. Valencia
2026-02-15,22:51,noche,L2,TAP-38,HMI,Alarma HMI,presión de inyección fuera de banda,D. Valencia
2026-02-15,23:07,noche,L1,ENV-1000,HMI,Ajuste de proceso,ajuste de contrapresión,M. Ocampo
2026-02-16,00:02,noche,L1,ENV-1000,HMI,Inspección de calidad,revisión dimensional de rutina,L. Betancur
2026-02-16,01:58,noche,L3,ENV-500,Bitácora,Paro no programado,paro por atasco en la banda de salida,A. Quintero
2026-02-16,02:09,noche,L1,ENV-1000,Bitácora,Mantenimiento correctivo,ajuste de cierre del molde,A. Quintero
2026-02-16,03:14,noche,L2,BAN-250,Bitácora,Alarma HMI,falla de sensor de posición del husillo,A. Quintero
2026-02-16,03:52,noche,L1,ENV-1000,HMI,Paro no programado,paro eléctrico breve,C. Ramírez
2026-02-16,04:43,noche,L3,ENV-500,Bitácora,Arranque de turno,arranque con precalentamiento del molde,M. Ocampo
2026-02-16,07:35,mañana,L3,ENV-500,Bitácora,Mantenimiento correctivo,cambio de resistencia de la zona 2,D. Valencia
2026-02-16,12:01,mañana,L3,ENV-500,HMI,Paro no programado,paro eléctrico breve,M. Ocampo
2026-02-16,14:04,tarde,L2,BAN-250,HMI,Paro no programado,paro por falta de resina en tolva,C. Ramírez
2026-02-16,14:34,tarde,L2,BAN-250,HMI,Mantenimiento correctivo,ajuste de cierre del molde,C. Ramírez
2026-02-16,15:39,tarde,L2,BAN-250,HMI,Arranque de turno,arranque normal del equipo,L. Betancur
2026-02-16,16:16,tarde,L3,ENV-500,Bitácora,Arranque de turno,"el molde arrancó por debajo de temperatura, primeras piezas con rebaba",C. Ramírez
2026-02-16,17:07,tarde,L2,BAN-250,Bitácora,Inspección de calidad,muestreo de peso conforme al plan,C. Ramírez
2026-02-16,19:08,tarde,L1,ENV-1000,HMI,Mantenimiento correctivo,ajuste de cierre del molde,L. Betancur
2026-02-16,19:31,tarde,L3,ENV-500,Bitácora,Paro no programado,paro por falta de resina en tolva,J. Peláez
2026-02-16,20:42,tarde,L1,ENV-1000,Bitácora,Paro no programado,paro eléctrico breve,C. Ramírez
2026-02-16,21:20,tarde,L3,ENV-500,HMI,Paro no programado,paro por falta de resina en tolva,D. Valencia
2026-02-16,22:02,noche,L1,ENV-1000,HMI,Arranque de turno,arranque normal del equipo,J. Peláez
2026-02-16,22:06,noche,L2,BAN-250,Bitácora,Paro no programado,paro eléctrico breve,L. Betancur
2026-02-16,22:09,noche,L3,ENV-500,HMI,Arranque de turno,arranque con precalentamiento del molde,J. Peláez
2026-02-16,22:19,noche,L1,ENV-1000,HMI,Mantenimiento correctivo,ajuste de cierre del molde,M. Ocampo
2026-02-16,22:46,noche,L2,BAN-250,Bitácora,Mantenimiento correctivo,cambio de resistencia de la zona 2,C. Ramírez
2026-02-16,22:55,noche,L3,ENV-500,HMI,Arranque de turno,"el molde arrancó por debajo de temperatura, primeras piezas con rebaba",L. Betancur
2026-02-17,02:01,noche,L1,ENV-500,HMI,Arranque de turno,"el molde arrancó por debajo de temperatura, primeras piezas con rebaba",D. Valencia
2026-02-17,07:45,mañana,L2,BAN-250,Bitácora,Mantenimiento correctivo,cambio de resistencia de la zona 2,D. Valencia
2026-02-17,08:18,mañana,L2,BAN-250,Bitácora,Inspección de calidad,revisión dimensional de rutina,C. Ramírez
2026-02-17,08:20,mañana,L2,BAN-250,HMI,Mantenimiento correctivo,cambio de resistencia de la zona 2,J. Peláez
2026-02-17,08:59,mañana,L3,ENV-500,HMI,Paro no programado,paro por atasco en la banda de salida,C. Ramírez
2026-02-17,09:14,mañana,L3,ENV-500,HMI,Ajuste de proceso,se corrigió el perfil de temperaturas,J. Peláez
2026-02-17,11:11,mañana,L2,BAN-250,HMI,Ajuste de proceso,se bajó el tiempo de enfriamiento,D. Valencia
2026-02-17,11:38,mañana,L2,BAN-250,Bitácora,Mantenimiento correctivo,ajuste de cierre del molde,A. Quintero
2026-02-17,12:54,mañana,L3,ENV-500,HMI,Inspección de calidad,revisión dimensional de rutina,A. Quintero
